t,count
1516571201,1
1516571202,1
1516571203,2
1516571204,2
1516571205,3
1516571206,3
1516571207,3
1516571208,3
1516571209,3
1516571210,3
1516571211,3
1516571212,3
1516571213,3
1516571214,3
1516571215,3
1516571216,3
1516571217,3
1516571218,3
1516571219,3
1516571220,3
1516571221,3
1516571222,3
1516571223,3
1516571224,3
1516571225,3
1516571226,3
1516571227,3
1516571228,3
1516571229,3
1516571230,3
1516571231,3
1516571232,3
1516571233,3
1516571234,3
1516571235,3
1516571236,3
1516571237,3
1516571238,3
1516571239,3
1516571240,3
1516571241,3
1516571242,3
1516571243,3
1516571244,3
1516571245,3
1516571246,3
1516571247,3
1516571248,3
1516571249,3
1516571250,3
1516571251,3
1516571252,3
1516571253,3
1516571254,3
1516571255,3
1516571256,3
1516571257,3
1516571258,3
1516571259,3
1516571260,3
1516571261,3
1516571262,3
1516571263,3
1516571264,3
1516571265,3
1516571266,3
1516571267,3
1516571268,3
1516571269,3
1516571270,3
1516571271,3
1516571272,3
1516571273,3
1516571274,3
1516571275,3
1516571276,3
1516571277,3
1516571278,3
1516571279,3
1516571280,3
1516571281,3
1516571282,3
1516571283,3
1516571284,3
1516571285,3
1516571286,3
1516571287,3
1516571288,3
1516571289,3
1516571290,3
1516571291,3
1516571292,3
1516571293,3
1516571294,3
1516571295,3
1516571296,3
1516571297,3
1516571298,3
1516571299,3
1516571300,3
1516571301,3
1516571302,3
1516571303,3
1516571304,3
1516571305,3
1516571306,3
1516571307,3
1516571308,3
1516571309,3
1516571310,3
1516571311,3
1516571312,3
1516571313,3
1516571314,3
1516571315,3
1516571316,3
1516571317,3
1516571318,3
1516571319,3
1516571320,3
1516571321,3
1516571322,3
1516571323,3
1516571324,3
1516571325,3
1516571326,3
1516571327,3
1516571328,3
1516571329,3
1516571330,3
1516571331,3
1516571332,3
1516571333,3
1516571334,3
1516571335,3
1516571336,3
1516571337,3
1516571338,3
1516571339,3
1516571340,3
1516571341,3
1516571342,3
1516571343,3
1516571344,3
1516571345,3
1516571346,3
1516571347,3
1516571348,3
1516571349,3
1516571350,3
1516571351,3
1516571352,3
1516571353,3
1516571354,3
1516571355,3
1516571356,3
1516571357,3
1516571358,3
1516571359,3
1516571360,3
1516571361,3
1516571362,3
1516571363,3
1516571364,3
1516571365,3
1516571366,3
1516571367,3
1516571368,3
1516571369,3
1516571370,3
1516571371,3
1516571372,3
1516571373,3
1516571374,3
1516571375,3
1516571376,3
1516571377,3
1516571378,3
1516571379,3
1516571380,3
1516571381,3
1516571382,3
1516571383,3
1516571384,3
1516571385,3
1516571386,3
1516571387,3
1516571388,3
1516571389,3
1516571390,3
1516571391,3
1516571392,3
1516571393,3
1516571394,3
1516571395,3
1516571396,3
1516571397,3
1516571398,3
1516571399,3
1516571400,3
1516571401,3
1516571402,3
1516571403,3
1516571404,3
1516571405,3
1516571406,3
1516571407,3
1516571408,3
1516571409,3
1516571410,3
1516571411,3
1516571412,3
1516571413,3
1516571414,3
1516571415,3
1516571416,3
1516571417,3
1516571418,3
1516571419,3
1516571420,3
1516571421,3
1516571422,3
1516571423,3
1516571424,3
1516571425,3
1516571426,3
1516571427,3
1516571428,3
1516571429,3
1516571430,3
1516571431,3
1516571432,3
1516571433,3
1516571434,3
1516571435,3
1516571436,3
1516571437,3
1516571438,3
1516571439,3
1516571440,3
1516571441,3
1516571442,3
1516571443,3
1516571444,3
1516571445,3
1516571446,3
1516571447,3
1516571448,3
1516571449,3
1516571450,3
1516571451,3
1516571452,3
1516571453,3
1516571454,3
1516571455,3
1516571456,3
1516571457,3
1516571458,3
1516571459,3
1516571460,3
1516571461,3
1516571462,3
1516571463,3
1516571464,3
1516571465,3
1516571466,3
1516571467,3
1516571468,3
1516571469,3
1516571470,3
1516571471,3
1516571472,3
1516571473,3
1516571474,3
1516571475,3
1516571476,3
1516571477,3
1516571478,3
1516571479,3
1516571480,3
1516571481,3
1516571482,3
1516571483,3
1516571484,3
1516571485,3
1516571486,3
1516571487,3
1516571488,3
1516571489,3
